rank,duration_seconds
0,114.154984
  1,113.618268
  2,113.464710
  3,113.208537
  4,112.837602
  5,113.586097
  6,112.897171
  7,112.701721
  8,113.224098
  9,112.341230
  10,113.722461
 11,113.666331
 12,114.414382
 13,114.302215
 14,114.679362
 15,114.348339
 16,112.808659
 17,113.211527
 18,112.427954
 19,114.059420
 20,113.780372
 21,113.967191
 22,113.444765
 23,113.779704
 24,111.288625
 25,111.629689
 26,111.409779
 27,111.220051
 28,110.891181
 29,110.549020
 30,109.601199
 31,109.883216
 32,111.001181
 33,110.515233
 34,110.510616
 35,110.841679
 36,111.645281
 37,111.540694
 38,111.300355
 39,111.682326
 40,109.968342
 41,111.122746
 42,110.527904
 43,110.507087
 44,111.729123
 45,111.356092
 46,110.064493
 47,109.658009
 48,111.160757
 49,111.258691
 50,110.849758
 51,111.281677
 52,110.261074
 53,110.806612
 54,110.805505
 55,110.649073
 56,110.350180
 57,110.278886
 58,110.920160
 59,110.652168
 60,111.684261
 61,111.645687
 62,111.889367
 63,111.672662
 64,111.453244
 65,112.084293
 66,111.630917
 67,110.309626
 68,111.106424
 69,111.430683
 70,109.874987
 71,109.792341
 72,112.198450
 73,111.556921
 74,111.558708
 75,110.831475
 76,111.051652
 77,110.909493
 78,110.491914
 79,109.955371
 80,111.548083
 81,111.132423
 82,110.639929
 83,110.858300
 84,117.247565
 85,117.770540
 86,117.375354
 87,118.037414
 88,117.425783
 89,116.988259
 90,117.821123
 91,117.551615
 92,117.985180
 93,118.228781
 94,117.587704
 95,117.751247
 96,110.717370
 97,110.201878
 98,111.264811
 99,111.027224
 100,109.847753
101,110.076392
102,110.412895
103,110.810492
104,110.949028
105,110.938299
106,110.688075
107,110.590635
108,111.664030
109,112.082802
110,112.767511
111,112.763818
112,112.240373
113,112.097385
114,112.280685
115,111.756099
116,112.103909
117,112.504038
118,112.478007
119,111.807101
120,110.079817
121,110.566670
122,110.816344
123,111.246089
124,110.043197
125,109.969268
126,109.285045
127,109.925924
128,110.201372
129,110.525560
130,109.125944
131,108.148969
132,111.070362
133,110.646099
134,111.108193
135,111.232414
136,110.716058
137,110.785487
138,110.801610
139,110.449302
140,110.539570
141,110.697481
142,110.003019
143,108.593893
144,112.836428
145,113.109680
146,113.375372
147,112.711972
148,112.565288
149,112.306636
150,111.681648
151,111.997922
152,112.820259
153,112.992510
154,110.476408
155,112.174310
156,110.863389
157,110.249353
158,111.850946
159,111.825448
160,110.934886
161,111.670671
162,110.402198
163,110.997089
164,111.795531
165,111.849842
166,111.328873
167,111.625311
168,111.164977
169,111.420768
170,110.982716
171,111.441411
172,110.850664
173,110.816517
174,108.548714
175,109.899889
176,110.989738
177,110.387623
178,110.479409
179,110.869063
180,111.817990
181,111.920842
182,111.128779
183,111.290458
184,110.083545
185,110.338511
186,111.478054
187,110.365457
188,110.143651
189,111.122684
190,110.656198
191,109.846859
192,111.495989
193,111.239326
194,110.262445
195,110.419848
196,109.953307
197,110.822181
198,110.710423
199,110.498943
200,109.984547
201,110.933734
202,108.851354
203,110.357266
204,110.060701
205,110.529038
206,111.564682
207,111.458822
208,110.969315
209,111.036790
210,109.685076
211,109.454273
212,110.691271
213,110.585526
214,109.885414
215,108.920105
216,111.427103
217,110.548411
218,110.737726
219,110.714426
220,110.865933
221,111.243915
222,109.136110
223,110.833977
224,110.343429
225,110.883587
226,109.615690
227,110.504982
228,111.720223
229,111.350395
230,111.459156
231,111.814870
232,111.849624
233,111.414022
234,111.425962
235,111.084220
236,111.434554
237,112.002337
238,110.669877
239,110.230275
240,111.570308
241,111.129440
242,111.186584
243,111.528242
244,112.016221
245,112.170818
246,110.693980
247,111.430983
248,111.237872
249,110.388880
250,110.868067
251,110.881852
252,111.462421
253,111.419385
254,110.592256
255,111.279773
256,111.008623
257,110.765659
258,110.566879
259,111.635637
260,110.194782
261,110.876925
262,110.950781
263,111.272279
264,112.045578
265,112.301486
266,112.211735
267,112.115909
268,112.241143
269,111.926514
270,111.160201
271,110.200069
272,112.071128
273,111.779633
274,112.079877
275,111.735340
276,111.427955
277,111.813616
278,111.440464
279,111.173243
280,111.664186
281,112.076717
282,110.177721
283,111.526465
284,111.921443
285,111.686237
286,109.552773
287,109.583759
288,111.873425
289,111.508744
290,110.942152
291,111.675882
292,111.591869
293,110.256307
294,110.909186
295,111.906807
296,110.847722
297,110.570821
298,110.634682
299,110.638557
300,112.817859
301,112.190116
302,111.649256
303,111.553205
304,111.734926
305,110.862975
306,111.132916
307,110.852254
308,111.838355
309,112.144989
310,110.223962
311,110.668378
312,110.882074
313,111.254271
314,111.205883
315,110.990797
316,110.037847
317,110.286587
318,111.226866
319,111.032197
320,111.486505
321,111.109010
322,111.211467
323,111.531253
324,110.872788
325,111.523340
326,112.491405
327,112.180639
328,111.319022
329,111.220082
330,110.901811
331,110.915490
332,111.568863
333,111.264982
334,110.998789
335,111.118066
336,111.034007
337,111.209446
338,110.667329
339,111.238698
340,110.686003
341,111.140388
342,110.584696
343,111.205301
344,110.812763
345,110.358253
346,108.766203
347,110.629205
348,112.296018
349,112.479678
350,109.945467
351,109.918890
352,110.778771
353,110.980434
354,110.686824
355,110.337837
356,111.604590
357,111.647902
358,109.291894
359,109.809789
360,111.573087
361,111.220263
362,111.511209
363,111.413171
364,110.948786
365,110.942407
366,110.268189
367,110.662737
368,110.893990
369,111.267559
370,109.820276
371,109.978737
372,113.090533
373,113.686847
374,113.721356
375,113.575098
376,112.738151
377,113.424505
378,113.026601
379,112.493546
380,112.635885
381,113.310228
382,111.305827
383,112.085548
384,111.093540
385,110.750619
386,109.502912
387,110.744711
388,110.851643
389,109.890457
390,110.492778
391,110.346785
392,110.665207
393,111.002243
394,109.783230
395,109.487211
396,111.252299
397,111.354238
398,110.972046
399,111.383902
400,110.890207
401,111.059778
402,109.105666
403,110.323916
404,111.146188
405,110.367064
406,110.135882
407,109.336753
408,111.498041
409,111.187173
410,111.668548
411,111.639516
412,111.188905
413,110.608756
414,110.139908
415,109.873035
416,110.676796
417,110.633972
418,110.846935
419,110.119748
420,111.260380
421,111.409913
422,111.136338
423,111.597482
424,110.589179
425,110.950561
426,109.508267
427,110.622418
428,111.243124
429,111.256713
430,108.173701
431,110.098993
432,111.339261
433,110.301180
434,111.057155
435,111.018651
436,109.709013
437,111.095536
438,109.371786
439,109.754516
440,111.393714
441,110.819298
442,109.711703
443,109.912064
444,111.786680
445,111.722393
446,112.585444
447,113.213894
448,110.865238
449,109.761379
450,110.933382
451,111.134359
452,110.640396
453,110.124635
454,110.103635
455,111.110490
456,112.147265
457,111.899579
458,111.806347
459,111.108272
460,112.050792
461,111.670212
462,110.691600
463,110.547459
464,111.990452
465,111.860650
466,110.885370
467,111.161878
468,111.532589
469,111.202018
470,112.020640
471,111.943136
472,110.400607
473,111.199218
474,109.518478
475,110.502056
476,111.738993
477,111.006473
478,110.649220
479,110.231553
480,112.198429
481,112.116442
482,111.732629
483,110.647370
484,110.609102
485,110.904042
486,110.857387
487,111.255996
488,112.252292
489,111.989510
490,110.807093
491,111.447784
492,111.646015
493,111.195829
494,111.937596
495,111.719088
496,110.792058
497,111.146372
498,111.329612
499,109.874448
500,111.132138
501,110.873158
502,109.345701
503,111.230367
504,112.309173
505,111.917472
506,111.875296
507,111.755586
508,111.382246
509,111.910544
510,111.790709
511,110.416022
512,112.072655
513,112.030896
514,110.006827
515,110.510759
516,111.248769
517,110.972650
518,110.661677
519,110.336669
520,110.698772
521,110.958245
522,109.889956
523,110.459041
524,110.546669
525,110.450746
526,109.697359
527,109.028741
528,111.784747
529,111.491796
530,110.693549
531,111.449278
532,110.223775
533,110.705898
534,110.681225
535,110.570758
536,110.824548
537,111.096553
538,110.162189
539,110.509820
540,111.735237
541,111.249063
542,111.471412
543,111.809920
544,110.844183
545,111.480752
546,110.371181
547,111.574523
548,111.963301
549,111.552465
550,110.921133
551,110.384701
552,110.304905
553,110.601452
554,110.468754
555,109.970468
556,109.617425
557,110.484653
558,110.206369
559,110.528858
560,110.221037
561,110.297513
562,109.407199
563,109.469979
564,111.760717
565,111.183218
566,111.015404
567,110.640700
568,111.847683
569,110.813098
570,111.661304
571,111.298431
572,112.048385
573,111.838787
574,111.399120
575,111.838928
576,112.303132
577,112.116390
578,112.834814
579,112.573553
580,112.341990
581,112.844478
582,112.495681
583,112.652817
584,112.588490
585,112.061599
586,112.562565
587,112.440070
588,112.863599
589,112.230954
590,111.671839
591,112.243338
592,112.222741
593,112.631521
594,112.205531
595,112.647326
596,111.266836
597,111.612884
598,111.973619
599,110.487529
600,111.763738
601,111.231563
602,111.530733
603,111.050912
604,111.243946
605,111.043795
606,112.173189
607,112.607584
608,111.547806
609,110.929845
610,111.542051
611,110.689704
612,126.634708
613,126.426893
614,126.945700
615,126.255984
616,126.658514
617,126.653279
618,126.539950
619,126.990102
620,126.568299
621,126.879376
622,126.570916
623,126.588396
624,132.396869
625,132.768706
626,132.325706
627,132.823974
628,132.100460
629,132.101542
630,132.102160
631,132.151644
632,132.496266
633,132.386399
634,132.794150
635,132.788258
636,111.841081
637,111.600646
638,111.955199
639,111.474553
640,111.046258
641,111.610888
642,110.759143
643,111.561160
644,111.967191
645,111.958527
646,111.302980
647,111.551833
648,112.288912
649,111.746199
650,112.591470
651,112.421709
652,112.214186
653,112.484017
654,112.083555
655,112.416795
656,112.383271
657,111.752470
658,112.470712
659,112.516029
660,118.317605
661,118.201130
662,117.721582
663,118.162502
664,118.513996
665,117.863974
666,117.855348
667,117.727699
668,118.695837
669,118.680311
670,118.072373
671,118.020308
672,115.081709
673,114.684456
674,114.827517
675,114.836857
676,114.369383
677,114.489671
678,114.213462
679,114.386075
680,114.644226
681,114.352328
682,113.895981
683,113.628388
684,113.088151
685,112.829164
686,112.773389
687,112.874856
688,112.290540
689,112.479176
690,112.535094
691,111.843478
692,112.909803
693,112.760684
694,112.423342
695,112.495743
696,121.046757
697,121.036621
698,120.276252
699,120.248035
700,120.138511
701,119.920281
702,119.867848
703,119.609797
704,119.880799
705,119.925885
706,119.022321
707,119.662163
708,114.898678
709,115.329175
710,115.220366
711,114.680946
712,114.900016
713,115.016511
714,114.729756
715,115.035686
716,115.004562
717,114.684649
718,114.823178
719,114.847814
720,115.355465
721,115.481587
722,115.351840
723,114.874975
724,114.970486
725,115.223323
726,114.991173
727,115.372684
728,115.023872
729,114.585027
730,115.344458
731,115.300446
732,123.364514
733,123.474765
734,122.800765
735,123.035885
736,122.744217
737,122.369390
738,122.016054
739,123.024129
740,123.190876
741,122.027051
742,123.191019
743,122.955958
744,123.946239
745,124.012638
746,124.244027
747,123.668941
748,124.033579
749,123.860626
750,123.241778
751,124.162426
752,123.672245
753,123.563659
754,123.453187
755,123.569328
756,114.343978
757,113.579918
758,113.519146
759,114.396974
760,114.152662
761,114.114803
762,113.570062
763,113.733968
764,113.898058
765,113.986186
766,113.258018
767,113.405050
