rank,duration_seconds
0,146.333864
   1,146.841448
   2,148.157350
   3,147.736433
   4,146.924594
   5,147.214900
   6,145.615602
   7,145.139372
   8,146.725994
   9,146.638001
   10,146.282274
  11,147.027849
  12,149.480391
  13,148.347765
  14,148.063649
  15,148.661980
  16,148.825721
  17,149.206783
  18,148.908197
  19,148.912242
  20,149.241835
  21,149.147124
  22,148.513315
  23,148.158139
  24,148.890199
  25,149.608260
  26,150.595173
  27,150.161380
  28,150.010908
  29,150.014532
  30,148.842714
  31,149.144861
  32,149.905383
  33,149.329719
  34,148.595335
  35,149.642567
  36,147.983427
  37,147.294263
  38,146.602453
  39,147.071926
  40,145.611963
  41,146.918393
  42,145.459998
  43,145.704001
  44,145.364315
  45,145.639078
  46,145.854247
  47,146.621387
  48,147.129621
  49,146.863995
  50,146.911059
  51,146.853313
  52,145.855976
  53,145.534831
  54,146.806254
  55,146.332432
  56,146.927694
  57,146.625436
  58,146.527041
  59,145.563287
  60,146.861220
  61,146.597947
  62,146.498743
  63,145.222164
  64,145.027111
  65,146.242383
  66,145.457326
  67,145.558691
  68,147.543406
  69,147.138014
  70,146.256141
  71,146.457626
  72,146.686073
  73,146.119920
  74,147.404348
  75,146.545527
  76,146.539736
  77,147.209874
  78,146.685653
  79,146.837129
  80,145.406785
  81,146.469483
  82,147.179828
  83,146.312435
  84,145.763052
  85,146.080913
  86,146.877582
  87,146.359312
  88,145.745818
  89,146.627927
  90,145.320739
  91,146.301675
  92,145.496630
  93,145.631975
  94,146.936368
  95,146.464438
  96,147.575494
  97,145.914998
  98,146.591475
  99,146.289672
  100,145.808206
 101,145.581159
 102,146.663679
 103,145.925120
 104,146.319586
 105,145.849105
 106,146.606955
 107,146.612097
 108,146.934425
 109,146.492452
 110,146.325226
 111,145.110676
 112,145.835110
 113,145.530286
 114,145.928373
 115,145.425913
 116,146.412454
 117,145.853086
 118,146.322320
 119,145.990481
 120,145.727997
 121,145.408550
 122,145.546836
 123,145.794580
 124,146.098335
 125,146.736770
 126,145.363181
 127,145.798955
 128,146.236684
 129,146.918288
 130,142.739638
 131,143.793835
 132,152.737208
 133,153.156441
 134,155.566632
 135,154.931946
 136,154.470208
 137,153.584627
 138,152.535094
 139,151.449760
 140,154.235972
 141,153.066523
 142,154.475469
 143,153.261980
 144,149.274057
 145,148.940806
 146,148.990114
 147,149.687289
 148,147.544284
 149,148.205978
 150,150.077285
 151,149.300592
 152,148.039265
 153,148.938352
 154,148.519468
 155,148.246457
 156,147.293997
 157,147.049826
 158,147.318482
 159,147.683640
 160,146.533911
 161,146.278494
 162,146.457766
 163,146.453639
 164,146.703500
 165,147.435988
 166,145.148946
 167,145.741480
 168,147.270418
 169,147.756758
 170,146.505474
 171,147.101028
 172,146.324035
 173,145.797195
 174,145.382608
 175,145.987589
 176,145.549742
 177,145.615973
 178,145.427325
 179,146.777776
 180,146.076507
 181,146.838817
 182,146.409083
 183,145.712713
 184,140.765512
 185,137.669852
 186,145.632715
 187,146.458427
 188,146.376384
 189,146.339371
 190,144.737781
 191,144.829265
 192,148.136185
 193,147.896512
 194,147.250481
 195,147.374664
 196,147.171955
 197,147.691173
 198,146.767869
 199,146.234948
 200,147.227707
 201,146.286726
 202,147.362967
 203,147.031464
 204,146.705922
 205,145.032917
 206,145.875254
 207,145.639990
 208,146.447371
 209,146.006347
 210,146.966599
 211,146.282542
 212,146.530785
 213,146.549442
 214,145.375496
 215,146.268672
 216,147.530119
 217,145.560264
 218,146.742323
 219,146.054302
 220,145.131131
 221,146.849916
 222,145.867026
 223,146.605709
 224,147.419544
 225,147.155780
 226,147.439474
 227,147.381585
 228,147.565512
 229,147.174021
 230,146.566476
 231,145.788152
 232,147.357043
 233,147.302446
 234,146.583283
 235,146.328127
 236,147.333036
 237,146.378357
 238,146.666301
 239,146.058530
 240,147.456712
 241,147.449092
 242,145.735807
 243,146.362215
 244,144.785597
 245,146.212704
 246,145.418284
 247,146.388283
 248,147.112308
 249,146.831362
 250,146.640890
 251,147.277522
 252,148.936240
 253,149.059938
 254,149.587856
 255,150.050767
 256,149.534320
 257,149.404321
 258,149.627929
 259,149.652144
 260,149.326106
 261,149.276322
 262,148.483834
 263,148.252416
 264,148.506082
 265,148.263710
 266,149.173230
 267,149.293409
 268,148.736476
 269,147.905483
 270,147.388535
 271,146.877513
 272,147.885132
 273,148.272328
 274,147.662034
 275,147.901896
 276,148.017616
 277,147.199587
 278,147.434229
 279,147.212254
 280,147.668424
 281,147.040656
 282,148.139052
 283,148.515109
 284,147.722361
 285,148.135509
 286,147.768241
 287,147.024196
 288,147.998818
 289,146.968740
 290,147.643316
 291,146.734493
 292,146.346556
 293,145.910471
 294,145.755448
 295,145.984802
 296,146.496933
 297,146.919611
 298,146.950452
 299,146.917028
 300,147.510492
 301,147.531085
 302,148.049681
 303,147.320162
 304,147.612149
 305,147.254565
 306,147.308489
 307,146.723681
 308,146.487757
 309,147.383573
 310,146.404338
 311,147.099220
 312,147.214258
 313,145.939679
 314,146.366986
 315,146.595126
 316,145.811780
 317,145.965976
 318,146.234909
 319,145.665148
 320,147.202704
 321,147.175405
 322,145.504221
 323,145.669650
 324,147.361398
 325,146.912050
 326,147.017498
 327,144.913046
 328,146.359883
 329,146.121214
 330,146.167961
 331,146.220823
 332,146.000019
 333,146.572881
 334,145.863213
 335,146.032865
 336,147.127919
 337,147.607256
 338,146.613167
 339,145.296071
 340,147.176879
 341,146.947284
 342,147.164273
 343,146.890104
 344,147.414679
 345,147.257572
 346,146.090510
 347,147.560218
 348,147.154633
 349,147.189324
 350,146.001290
 351,145.194305
 352,145.544231
 353,146.042708
 354,146.804245
 355,146.608347
 356,146.906076
 357,146.503042
 358,146.482011
 359,146.632020
 360,146.899626
 361,145.431585
 362,148.063683
 363,147.661282
 364,145.240147
 365,144.591020
 366,146.246999
 367,145.504804
 368,146.124396
 369,146.103401
 370,146.850828
 371,146.429217
 372,150.014977
 373,149.881080
 374,149.282937
 375,148.813971
 376,149.049557
 377,149.055978
 378,148.948547
 379,148.236962
 380,149.480807
 381,148.795012
 382,148.122404
 383,147.453732
 384,149.830460
 385,150.445564
 386,150.502007
 387,150.693913
 388,148.496337
 389,149.882568
 390,150.273625
 391,150.149717
 392,150.055227
 393,149.407799
 394,149.709222
 395,149.711002
 396,146.909584
 397,147.207357
 398,146.901012
 399,146.863114
 400,146.659815
 401,146.078282
 402,147.716224
 403,147.654755
 404,146.779940
 405,146.423198
 406,147.388498
 407,146.627617
 408,147.088385
 409,147.262231
 410,146.057717
 411,146.523927
 412,146.844227
 413,146.064663
 414,145.778898
 415,146.061465
 416,147.114382
 417,145.810500
 418,146.373089
 419,146.354245
 420,147.874743
 421,147.291838
 422,147.343424
 423,146.801407
 424,145.479077
 425,146.173226
 426,146.486406
 427,147.455229
 428,147.215259
 429,147.151134
 430,147.080320
 431,146.536053
 432,147.377800
 433,147.364327
 434,146.147462
 435,146.946381
 436,146.575594
 437,147.388246
 438,146.420091
 439,146.492048
 440,146.062983
 441,145.529339
 442,144.895205
 443,144.771580
 444,148.439322
 445,147.700867
 446,147.508572
 447,147.018303
 448,145.993268
 449,147.128689
 450,147.292994
 451,145.550695
 452,146.795713
 453,146.389581
 454,146.713617
 455,147.429008
 456,147.489711
 457,147.581661
 458,147.139681
 459,147.092507
 460,147.639697
 461,147.553752
 462,147.588332
 463,147.703342
 464,146.973216
 465,146.280221
 466,146.438142
 467,146.275740
 468,148.746137
 469,149.148163
 470,146.974771
 471,146.672830
 472,145.887822
 473,145.875568
 474,147.336563
 475,147.043725
 476,146.582521
 477,147.185122
 478,146.332179
 479,146.052974
 480,147.353021
 481,147.113490
 482,147.088915
 483,146.066067
 484,146.866830
 485,146.754471
 486,144.990313
 487,145.328859
 488,146.649722
 489,145.883621
 490,145.449053
 491,145.092649
 492,149.521777
 493,148.920445
 494,148.560972
 495,148.562123
 496,148.832907
 497,149.329891
 498,148.100296
 499,147.690761
 500,149.468531
 501,147.940496
 502,149.624177
 503,149.021509
 504,147.619921
 505,148.573887
 506,148.665967
 507,148.192789
 508,148.370599
 509,148.376267
 510,147.460782
 511,148.342168
 512,147.898433
 513,147.526942
 514,147.094418
 515,147.649489
 516,147.135507
 517,147.197364
 518,147.119333
 519,146.862363
 520,146.667972
 521,146.442023
 522,144.797039
 523,145.745852
 524,146.497110
 525,145.851995
 526,145.311214
 527,145.342492
 528,147.588289
 529,146.920455
 530,147.976367
 531,146.829186
 532,147.041024
 533,147.400751
 534,146.586049
 535,145.542494
 536,148.030334
 537,147.756118
 538,147.057954
 539,146.645281
 540,147.965940
 541,148.470542
 542,148.218962
 543,147.667974
 544,147.289685
 545,147.333589
 546,147.167678
 547,146.392843
 548,147.745547
 549,147.097234
 550,149.118924
 551,148.688714
 552,147.280565
 553,147.725389
 554,147.571825
 555,148.486843
 556,148.307519
 557,148.088952
 558,148.127482
 559,147.019062
 560,147.123736
 561,146.711486
 562,146.500380
 563,147.128227
 564,147.736861
 565,147.290546
 566,147.168165
 567,146.349939
 568,147.325825
 569,147.701810
 570,147.817117
 571,148.396464
 572,148.017831
 573,147.155457
 574,146.611885
 575,146.220596
 576,147.634195
 577,147.110797
 578,147.299510
 579,147.006317
 580,146.119333
 581,146.885478
 582,145.364334
 583,145.554847
 584,147.526728
 585,146.855577
 586,145.009117
 587,145.934933
 588,147.485400
 589,146.205130
 590,146.139547
 591,146.446339
 592,145.383003
 593,146.305785
 594,146.770067
 595,146.327707
 596,146.690736
 597,146.653311
 598,146.710766
 599,145.564012
 600,148.359656
 601,148.190322
 602,147.007522
 603,147.672217
 604,147.748014
 605,147.312215
 606,147.226448
 607,146.694906
 608,146.916462
 609,145.581554
 610,145.846494
 611,146.252200
 612,149.195228
 613,148.748342
 614,149.368902
 615,148.926284
 616,149.773259
 617,149.942609
 618,147.806114
 619,147.747447
 620,148.461304
 621,148.461924
 622,148.675994
 623,147.997638
 624,147.591985
 625,146.252614
 626,147.978836
 627,146.944568
 628,147.123458
 629,146.392901
 630,146.610722
 631,146.681713
 632,146.886273
 633,145.200911
 634,145.581453
 635,145.852609
 636,149.234422
 637,148.716677
 638,146.530994
 639,145.916858
 640,146.248970
 641,146.024991
 642,146.685915
 643,146.714569
 644,146.779276
 645,147.369038
 646,146.353464
 647,145.725403
 648,147.080761
 649,147.122024
 650,148.024068
 651,147.461306
 652,147.095919
 653,147.474639
 654,146.668090
 655,146.726356
 656,147.626147
 657,147.494893
 658,147.756537
 659,147.079279
 660,147.830583
 661,147.279248
 662,146.223415
 663,145.958369
 664,146.775218
 665,146.766243
 666,146.371927
 667,146.257179
 668,147.089701
 669,146.375854
 670,146.269337
 671,145.303150
 672,147.605525
 673,147.277616
 674,146.960276
 675,147.540282
 676,146.966499
 677,147.485258
 678,147.071811
 679,146.821203
 680,146.904818
 681,147.495397
 682,146.660167
 683,145.745049
 684,147.719801
 685,146.665861
 686,147.262168
 687,147.604753
 688,145.853306
 689,146.095241
 690,145.821451
 691,144.282815
 692,147.296367
 693,146.304440
 694,147.825964
 695,147.613099
 696,145.669082
 697,145.147954
 698,146.057794
 699,146.283405
 700,145.495314
 701,145.315951
 702,145.160100
 703,145.884016
 704,146.681123
 705,145.477121
 706,145.461165
 707,144.193654
 708,147.907345
 709,147.056743
 710,146.016990
 711,146.613135
 712,146.078108
 713,146.014889
 714,144.953763
 715,145.831736
 716,146.357423
 717,144.643332
 718,147.154675
 719,145.326541
 720,147.502201
 721,146.910369
 722,146.117711
 723,147.512444
 724,146.575160
 725,146.883540
 726,146.522092
 727,146.861027
 728,146.610066
 729,147.380272
 730,146.713116
 731,146.458945
 732,147.608502
 733,147.956333
 734,148.556937
 735,148.247858
 736,147.303693
 737,147.026359
 738,147.477304
 739,147.347359
 740,147.138078
 741,147.422817
 742,146.696569
 743,146.168543
 744,145.945760
 745,147.209513
 746,147.354738
 747,146.375912
 748,146.955860
 749,147.046956
 750,147.565351
 751,147.206481
 752,146.677707
 753,147.669549
 754,146.163496
 755,146.416593
 756,147.302915
 757,146.990752
 758,148.191953
 759,147.764904
 760,146.477060
 761,146.088942
 762,146.671324
 763,146.952073
 764,146.864288
 765,147.034681
 766,144.930887
 767,145.893534
 768,148.875161
 769,148.570433
 770,148.534314
 771,148.081642
 772,148.131826
 773,147.909187
 774,147.941980
 775,147.657253
 776,148.458743
 777,148.531409
 778,148.201348
 779,148.188396
 780,149.221105
 781,148.231716
 782,149.004683
 783,148.568849
 784,148.621511
 785,148.054756
 786,148.305003
 787,148.479232
 788,149.410968
 789,149.120044
 790,147.739003
 791,147.561395
 792,148.738853
 793,148.732874
 794,147.820322
 795,148.713160
 796,148.843284
 797,148.929443
 798,148.418682
 799,148.889859
 800,148.175929
 801,148.645368
 802,148.372879
 803,147.694210
 804,147.877132
 805,147.423199
 806,148.022906
 807,148.097472
 808,148.018299
 809,147.473577
 810,147.458610
 811,146.955928
 812,146.591955
 813,146.924682
 814,147.608760
 815,147.659447
 816,148.478820
 817,148.248002
 818,148.641286
 819,149.173849
 820,149.876358
 821,148.518389
 822,149.070400
 823,149.252512
 824,149.583704
 825,149.033490
 826,149.354664
 827,148.544283
 828,149.541601
 829,149.648702
 830,149.259628
 831,148.677107
 832,147.989608
 833,149.069406
 834,149.646998
 835,148.378953
 836,148.610956
 837,148.725927
 838,146.957196
 839,147.467212
 840,149.634501
 841,149.872508
 842,148.805573
 843,148.603751
 844,149.415131
 845,148.466434
 846,148.106104
 847,149.091476
 848,149.080031
 849,148.787236
 850,148.110216
 851,147.966672
 852,149.758435
