rank,duration_seconds
0,189.943347
   1,189.966240
   2,190.101388
   3,190.011662
   4,194.697128
   5,192.520015
   6,192.905452
   7,189.741182
   8,193.967821
   9,196.446669
   10,193.801006
  11,194.014963
  12,191.074374
  13,193.845284
  14,193.755413
  15,189.944979
  16,196.853226
  17,189.459562
  18,187.054397
  19,191.938365
  20,194.238749
  21,195.787852
  22,188.439063
  23,194.512127
  24,195.213296
  25,191.987953
  26,194.535109
  27,192.929161
  28,189.045656
  29,192.745779
  30,191.314307
  31,194.686779
  32,196.985748
  33,195.574825
  34,203.624895
  35,194.248964
  36,190.631274
  37,194.068949
  38,192.775640
  39,190.017602
  40,194.352338
  41,194.167970
  42,190.913139
  43,193.427717
  44,194.293926
  45,192.611657
  46,194.335365
  47,191.234186
  48,191.621705
  49,189.850681
  50,196.559602
  51,194.839393
  52,194.474077
  53,190.754514
  54,193.929615
  55,188.136644
  56,193.772153
  57,191.774959
  58,193.179782
  59,193.698512
  60,194.897845
  61,194.164937
  62,197.500054
  63,198.051393
  64,194.411963
  65,195.273440
  66,194.369199
  67,192.025658
  68,195.854526
  69,194.359515
  70,195.984735
  71,190.978599
  72,194.063771
  73,186.936602
  74,193.178624
  75,188.059227
  76,193.949802
  77,195.843020
  78,193.718668
  79,190.931369
  80,195.920032
  81,188.724967
  82,193.683987
  83,188.219568
  84,190.920201
  85,188.425535
  86,195.280191
  87,191.536749
  88,127.219204
  89,188.661065
  90,194.682982
  91,192.859728
  92,194.065652
  93,188.615928
  94,190.250674
  95,189.678360
  96,193.161417
  97,174.541089
  98,194.026918
  99,191.475642
  100,193.448791
 101,193.869234
 102,194.953446
 103,193.700897
 104,195.666476
 105,196.655417
 106,194.020207
 107,194.708660
 108,194.539392
 109,194.061906
 110,194.287788
 111,194.491999
 112,196.353384
 113,190.772336
 114,195.752912
 115,195.875001
 116,174.538352
 117,192.711385
 118,194.427862
 119,192.218927
 120,196.090419
 121,195.142138
 122,195.992797
 123,193.929112
 124,194.695900
 125,188.943381
 126,197.648624
 127,191.928756
 128,195.270063
 129,194.433029
 130,195.676891
 131,191.280982
 132,193.022053
 133,192.140050
 134,192.424193
 135,191.541159
 136,189.566556
 137,196.636845
 138,193.827937
 139,193.264181
 140,193.700982
 141,194.952661
 142,194.945343
 143,193.791227
 144,194.231365
 145,190.610636
 146,193.576864
 147,195.169544
 148,193.511775
 149,194.172982
 150,193.381425
 151,187.592954
 152,195.708311
 153,192.960508
 154,191.140857
 155,192.281853
 156,194.837312
 157,188.566871
 158,193.789867
 159,191.725713
 160,194.169021
 161,194.721049
 162,195.582004
 163,191.444886
 164,191.946142
 165,191.633929
 166,196.251682
 167,192.869454
 168,193.317565
 169,151.496728
 170,195.689748
 171,193.732669
 172,195.787598
 173,193.183592
 174,194.689733
 175,194.714939
 176,194.287618
 177,190.157566
 178,194.856523
 179,185.856919
 180,194.065398
 181,193.470415
 182,193.272370
 183,195.564188
 184,193.428384
 185,194.586242
 186,194.470097
 187,192.955088
 188,195.664693
 189,193.595054
 190,194.505623
 191,196.761022
 192,194.143147
 193,190.462575
 194,195.191355
 195,192.086133
 196,194.147110
 197,187.595149
 198,195.833321
 199,191.432259
 200,194.498759
 201,190.861823
 202,189.032262
 203,192.638652
 204,194.721517
 205,192.100210
 206,195.395432
 207,196.701799
 208,197.198733
 209,194.222512
 210,193.251332
 211,191.241454
 212,193.358554
 213,195.388440
 214,192.120875
 215,190.778590
 216,194.591526
 217,195.513810
 218,195.126867
 219,194.659260
 220,194.280405
 221,188.650865
 222,193.249094
 223,188.751424
 224,192.697214
 225,194.574430
 226,194.669151
 227,193.277864
 228,193.613414
 229,193.661982
 230,195.904606
 231,191.444206
 232,201.722717
 233,191.812456
 234,194.961002
 235,188.486242
 236,193.730292
 237,195.584624
 238,195.370355
 239,190.498381
 240,194.559791
 241,194.083095
 242,194.637364
 243,189.732867
 244,189.205141
 245,193.677650
 246,192.934588
 247,194.221428
 248,192.666038
 249,195.794559
 250,193.764445
 251,189.511024
 252,192.354585
 253,190.659259
 254,195.233487
 255,195.146569
 256,194.865021
 257,190.854772
 258,195.975616
 259,187.820025
 260,193.746111
 261,195.596767
 262,195.332255
 263,195.886103
 264,193.986077
 265,195.635700
 266,194.832304
 267,195.779456
 268,193.965776
 269,193.482759
 270,187.240441
 271,194.684584
 272,195.187580
 273,188.969921
 274,190.949607
 275,191.577686
 276,194.380579
 277,191.842503
 278,192.192110
 279,194.490269
 280,194.025643
 281,191.702925
 282,192.426954
 283,195.203642
 284,191.435029
 285,191.839164
 286,192.790005
 287,193.162702
 288,196.461200
 289,197.649219
 290,195.359901
 291,197.181563
 292,193.330632
 293,191.407454
 294,192.580954
 295,193.061236
 296,195.725837
 297,194.184653
 298,196.177053
 299,187.629905
 300,192.069179
 301,192.332982
 302,192.075779
 303,194.340487
 304,192.785819
 305,193.162773
 306,192.227350
 307,193.747534
 308,191.303756
 309,189.239355
 310,190.245149
 311,194.560611
 312,193.028519
 313,194.182892
 314,190.252503
 315,127.877189
 316,194.080297
 317,196.206700
 318,195.041532
 319,195.639183
 320,189.168099
 321,196.108500
 322,189.092619
 323,194.659857
 324,202.475698
 325,190.223245
 326,194.028285
 327,195.333390
 328,189.740411
 329,189.829638
 330,193.615871
 331,192.950994
 332,194.670353
 333,188.500141
 334,196.969049
 335,189.446174
 336,192.621443
 337,191.270377
 338,194.711613
 339,193.501818
 340,194.880703
 341,195.976336
 342,188.387455
 343,190.013630
 344,194.318114
 345,192.951979
 346,189.347827
 347,189.836987
 348,190.853223
 349,202.153653
 350,203.337526
 351,192.687511
 352,128.573683
 353,194.681539
 354,194.797488
 355,194.327052
 356,195.382897
 357,194.182309
 358,190.318654
 359,195.346970
 360,195.645273
 361,189.587758
 362,190.394853
 363,191.439071
 364,193.024064
 365,193.563314
 366,194.321116
 367,193.744877
 368,194.719435
 369,193.290844
 370,189.126015
 371,188.551589
 372,194.568217
 373,183.392940
 374,191.579694
 375,125.681540
 376,195.017632
 377,194.511535
 378,191.224721
 379,190.232133
 380,194.368838
 381,195.949322
 382,190.521639
 383,190.153682
 384,192.327593
 385,189.266498
 386,195.041010
 387,191.941119
 388,195.435287
 389,191.637066
 390,195.098408
 391,190.313331
 392,195.432117
 393,194.060090
 394,196.343883
 395,196.482021
 396,195.152340
 397,187.801806
 398,194.253196
 399,194.519190
 400,195.748945
 401,191.256091
 402,195.897116
 403,193.271455
 404,194.883718
 405,195.277838
 406,193.946245
 407,196.358062
 408,195.222470
 409,193.465718
 410,194.702330
 411,194.387122
 412,194.087900
 413,188.207098
 414,192.366172
 415,192.509492
 416,194.992725
 417,195.704078
 418,196.004324
 419,194.226069
 420,193.774039
 421,187.346091
 422,191.056638
 423,195.638245
 424,194.752936
 425,192.945343
 426,191.982268
 427,194.019990
 428,194.101414
 429,191.168884
 430,195.320386
 431,196.077074
 432,195.207548
 433,194.055246
 434,191.951606
 435,191.186448
 436,191.051286
 437,190.534000
 438,194.694802
 439,194.449647
 440,192.683556
 441,191.354578
 442,190.761038
 443,192.625621
 444,194.126971
 445,187.535247
 446,191.909746
 447,195.151804
 448,193.395949
 449,195.160366
 450,193.517278
 451,172.169117
 452,195.292031
 453,193.019872
 454,194.432598
 455,192.335631
 456,190.043858
 457,193.639338
 458,192.590304
 459,190.923416
 460,193.613381
 461,192.571556
 462,193.365181
 463,191.445740
 464,193.537097
 465,188.139004
 466,193.765595
 467,190.511364
 468,189.717262
 469,189.671017
 470,195.641850
 471,189.100247
 472,192.756624
 473,201.833445
 474,189.394582
 475,188.657897
 476,193.500483
 477,192.650279
 478,191.808206
 479,192.394471
 480,193.925648
 481,192.245676
 482,194.862566
 483,190.353000
 484,193.026996
 485,192.895015
 486,194.284636
 487,193.762546
 488,193.717140
 489,194.128572
 490,192.642447
 491,194.671178
 492,194.002815
 493,193.438493
 494,194.811422
 495,194.478784
 496,198.446270
 497,192.924320
 498,194.225493
 499,194.254966
 500,203.532584
 501,189.871874
 502,193.584074
 503,196.274838
 504,193.716660
 505,187.953568
 506,193.071070
 507,190.336402
 508,197.383696
 509,191.791842
 510,195.945437
 511,192.819938
 512,192.794284
 513,196.141665
 514,192.380446
 515,191.743152
 516,195.587756
 517,194.588391
 518,195.025607
 519,193.970890
 520,194.138104
 521,195.092463
 522,197.209369
 523,196.457176
 524,196.530395
 525,194.171271
 526,194.307140
 527,195.769821
 528,194.494656
 529,188.612723
 530,196.207803
 531,194.370481
 532,195.166149
 533,194.996432
 534,193.421149
 535,190.019675
 536,192.220527
 537,192.428278
 538,196.564052
 539,191.042385
 540,195.160996
 541,194.444391
 542,192.084010
 543,193.100144
 544,188.470298
 545,196.239762
 546,194.246785
 547,191.687942
 548,195.576155
 549,195.268438
 550,196.671490
 551,190.814027
 552,193.413662
 553,195.913249
 554,197.314312
 555,190.201028
 556,194.696449
 557,195.467171
 558,193.654946
 559,192.772164
 560,187.038314
 561,195.680964
 562,190.200171
 563,191.738549
 564,193.911221
 565,194.599508
 566,195.273233
 567,192.379581
 568,194.840949
 569,188.918475
 570,193.421534
 571,194.909696
 572,195.827248
 573,193.226393
 574,195.469934
 575,189.811203
 576,191.313409
 577,190.781408
 578,193.538457
 579,194.117894
 580,192.814369
 581,200.970820
 582,193.970816
 583,188.142481
 584,193.733023
 585,190.806657
 586,193.888369
 587,188.739482
 588,193.903190
 589,187.910138
 590,175.303139
 591,193.357308
 592,193.011103
 593,189.444884
 594,194.807674
 595,194.942162
 596,201.716709
 597,189.775886
 598,193.072086
 599,196.234650
 600,194.292344
 601,194.543001
 602,194.336702
 603,190.940544
 604,186.805594
 605,129.396090
 606,194.771977
 607,195.489133
 608,196.170072
 609,193.235462
 610,195.447195
 611,195.138634
 612,195.942153
 613,193.939377
 614,194.363970
 615,195.585626
 616,194.736560
 617,195.906284
 618,194.607192
 619,195.687948
 620,193.045568
 621,190.549594
 622,192.779129
 623,194.594146
 624,193.574009
 625,195.677647
 626,195.646144
 627,191.970620
 628,195.513272
 629,194.179300
 630,190.348419
 631,194.142727
 632,196.052545
 633,189.285176
 634,195.083214
 635,193.373601
 636,188.509344
 637,193.282085
 638,196.134693
 639,191.102841
 640,193.396214
 641,187.806602
 642,191.430017
 643,195.097954
 644,194.611936
 645,195.373609
 646,193.947831
 647,187.483012
 648,195.290450
 649,194.731729
 650,193.598935
 651,188.781067
 652,192.663520
 653,191.655095
 654,195.100651
 655,193.671190
 656,189.983001
 657,194.284900
 658,193.726434
 659,192.096862
 660,194.779258
 661,193.587551
 662,195.016496
 663,190.008119
 664,191.075355
 665,193.260366
 666,188.776048
 667,193.621542
 668,193.514984
 669,195.623533
 670,192.055849
 671,194.766493
 672,192.025151
 673,193.444897
 674,193.976859
 675,191.585243
 676,196.562873
 677,195.932883
 678,193.120559
 679,194.555761
 680,193.560236
 681,193.037682
 682,190.460331
 683,192.335163
 684,193.316861
 685,194.584854
 686,195.592698
 687,192.773843
 688,189.330207
 689,195.084485
 690,190.162089
 691,192.851936
 692,195.125162
 693,189.819042
 694,193.215919
 695,192.561233
 696,192.095075
 697,191.221576
 698,193.568196
 699,190.887606
 700,196.089903
 701,191.066604
 702,194.776652
 703,194.465584
 704,192.739918
 705,192.290095
 706,189.476697
 707,191.123051
 708,194.367728
 709,194.758001
 710,193.986629
 711,192.621717
 712,191.033970
 713,192.213200
 714,195.530614
 715,194.239032
 716,194.871085
 717,191.845699
 718,190.338205
 719,196.093031
 720,194.568749
 721,191.735738
 722,193.963527
 723,192.226255
 724,191.474933
 725,192.611807
 726,192.566902
 727,191.878435
 728,191.821353
 729,192.914752
 730,192.263184
 731,191.060508
 732,194.256613
 733,193.400837
 734,193.541064
 735,193.305501
 736,191.887244
 737,194.799279
 738,194.871926
 739,195.448280
 740,194.466766
 741,192.681737
 742,192.510570
 743,195.523188
 744,193.877037
 745,194.131161
 746,193.998530
 747,193.658475
 748,190.907990
 749,196.744773
 750,193.031464
 751,191.521594
 752,193.074573
 753,201.569137
 754,195.114394
 755,191.830037
 756,193.193125
 757,195.013860
 758,194.060547
 759,193.509554
 760,194.549506
 761,194.596805
 762,195.177862
 763,189.545457
 764,194.018823
 765,195.245225
 766,194.417327
 767,187.005391
 768,201.435308
 769,194.710109
 770,194.472381
 771,194.604760
 772,193.065209
 773,194.741548
 774,195.157882
 775,195.865834
 776,193.783401
 777,194.323028
 778,194.466329
 779,190.063492
 780,195.001459
 781,190.875263
